MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,Alley_na,MasVnrType_na,MasVnrArea_na,BsmtQual_na,BsmtCond_na,BsmtExposure_na,BsmtFinType1_na,BsmtFinType2_na,Electrical_na,FireplaceQu_na,GarageType_na,GarageYrBlt_na,GarageFinish_na,GarageQual_na,GarageCond_na,PoolQC_na,Fence_na,MiscFeature_na
0,RM,3.912023005428146,9.392890478215914,Pave,,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,70,7,Hip,CompShg,Stucco,Stucco,,435.0,3,3,BrkTil,,,,,168,,0,739,907,GasA,3,Y,,7.030857476116121,0,0,7.030857476116121,0,0,1,0,2,1,3,7,Typ,0,,,12.0,,2,672,,,Y,0,72,0,0,0,0,,,,0,3,WD,Alloca,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
7,RL,,10.164443069078528,Pave,,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,77,56,Gable,CompShg,BrkFace,Stucco,,0.0,3,3,PConc,,,,,0,,0,792,792,GasA,2,Y,,6.674561391814426,725,0,7.324489979348532,0,0,1,0,3,1,4,7,Typ,2,,,75.0,,2,400,,,Y,0,0,0,0,0,0,,,,0,6,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.248495242049359,9.801640606604034,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Feedr,Norm,1Fam,1Story,5,5,0,0,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,,,,,206,,0,914,1120,GasA,5,Y,,7.02108396428914,0,0,7.02108396428914,0,0,1,0,3,1,3,6,Typ,0,,,,,0,0,,,Y,0,30,0,0,0,0,,,,0,12,New,Partial,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,RL,,9.89861486228056,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,15,15,Gable,CompShg,HdBoard,HdBoard,,170.0,3,3,PConc,,,,,0,,0,384,384,GasA,4,Y,,6.699500340161678,670,0,7.301147805856032,0,0,2,1,3,1,4,7,Typ,1,,,15.0,,2,392,,,Y,100,25,0,0,0,0,,,,0,7,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.248495242049359,10.063829694942651,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,38,38,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,,,,,524,,1,160,864,GasA,4,Y,,6.761572768804055,0,0,6.761572768804055,0,0,1,0,2,1,3,4,Typ,0,,,20.0,,2,576,,,Y,216,0,0,0,0,0,,,,0,3,WD,Abnorml,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,,10.237043952963322,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,51,51,Hip,CompShg,Plywood,Plywood,,180.0,3,3,CBlock,,,,,1000,,0,188,1188,GasA,2,Y,,7.080026499922591,0,0,7.080026499922591,1,0,1,0,3,1,3,6,Typ,0,,,51.0,,2,531,,,Y,0,0,0,0,0,0,,,,0,5,COD,Abnorml,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,FV,4.174387269895637,9.76229871979014,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,0,0,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,,,,,0,,0,770,770,GasA,5,Y,,6.656726524178391,798,0,7.362645270417825,0,0,2,1,3,1,4,6,Typ,0,,,0.0,,2,614,,,Y,0,50,0,0,0,0,,,,0,8,New,Partial,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2,RL,4.0943445622221,9.991302820829192,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Norm,2fmCon,1Story,4,5,36,36,Gable,CompShg,HdBoard,HdBoard,,160.0,3,3,CBlock,,,,,789,,0,171,960,GasW,3,N,,6.866933284461882,0,0,6.866933284461882,1,0,1,0,3,1,3,6,Typ,0,,,36.0,,2,576,,,Y,0,288,0,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.31748811353631,10.217153574373746,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,1Story,8,5,2,2,Gable,CompShg,VinylSd,VinylSd,,53.0,4,3,PConc,,,,,24,,0,1550,1574,GasA,5,Y,,7.3613754289773485,0,0,7.3613754289773485,0,0,2,0,3,1,4,7,Typ,1,,,2.0,,3,824,,,Y,144,104,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RM,4.442651256490317,9.81525495090965,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,88,2,Gable,CompShg,CemntBd,CmentBd,,0.0,3,3,CBlock,,,,,0,,0,793,793,GasW,3,N,,6.904750769961838,520,0,7.324489979348532,0,0,2,0,3,1,2,7,Typ,0,,,,,0,0,,,N,0,0,1,0,0,0,,,,0,8,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,RL,4.248495242049359,10.305603788309105,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,5,6,46,10,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,,,,,444,,0,76,520,GasA,5,Y,,7.288927694521257,0,0,7.288927694521257,0,1,2,0,3,1,3,6,Min2,1,,,12.0,,2,480,,,Y,302,0,0,0,1,0,,,,0,10,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.3694478524670215,10.030598034059064,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,13,12,Gable,CompShg,VinylSd,VinylSd,,921.0,4,3,PConc,,,,,0,,0,1264,1264,GasA,5,Y,,7.152268856032539,1067,0,7.759614150696903,0,0,2,1,3,1,4,7,Typ,1,,,13.0,,3,889,,,Y,220,0,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RM,4.07753744390572,9.772793156576435,Pave,,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,4,4,Gable,CompShg,VinylSd,VinylSd,,146.0,4,3,PConc,,,,,720,,0,638,1358,GasA,5,Y,,7.213768308118642,0,0,7.213768308118642,1,0,2,0,2,1,4,6,Typ,1,,,4.0,,2,484,,,Y,192,30,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,,9.753312655475783,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,7,7,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,,,,,0,,0,924,924,GasA,5,Y,,6.854354502255021,742,0,7.432483807917119,0,0,2,1,3,1,3,7,Typ,1,,,7.0,,2,463,,,Y,100,48,0,0,0,0,,,,0,11,WD,Abnorml,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
8,RL,4.787491742782046,10.784925709540063,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,SLvl,6,5,47,47,Gable,CompShg,Wd Sdng,Wd Sdng,,399.0,3,3,CBlock,,,,,672,,1,0,1362,GasA,3,Y,,7.231287004327616,0,0,7.231287004327616,1,0,1,0,3,1,3,6,Typ,1,,,18.0,,2,884,,,Y,0,0,1,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.248495242049359,9.801361141894677,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,6,30,29,Gable,CompShg,HdBoard,HdBoard,,130.0,3,3,CBlock,,,,,0,,0,650,650,GasA,3,Y,,6.78897174299217,676,0,7.355001921105257,0,0,2,1,3,1,3,7,Typ,1,,,30.0,,2,476,,,Y,0,50,0,0,1,0,,,,0,4,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RL,3.5263605246161616,9.280638293229277,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1Story,6,5,4,4,Gable,CompShg,VinylSd,VinylSd,,135.0,4,3,PConc,,,,,900,,0,406,1306,GasA,5,Y,,7.174724309836376,0,0,7.174724309836376,1,0,2,0,1,1,4,5,Typ,1,,,4.0,,2,624,,,Y,170,63,0,0,0,0,,,,0,8,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,3.9889840465642745,10.387657072238477,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,6,19,19,Gable,CompShg,HdBoard,HdBoard,,72.0,3,3,CBlock,,,,,980,,1,92,1112,GasA,4,Y,,7.036148493750536,0,0,7.036148493750536,1,0,2,0,2,1,4,5,Typ,1,,,19.0,,2,551,,,Y,125,0,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.605170185988092,10.92771107780313,Pave,,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,54,54,Hip,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,,,,,0,,0,988,988,GasA,5,Y,,6.895682697747868,0,0,6.895682697747868,0,0,1,0,2,1,3,4,Typ,0,,,54.0,,2,520,,,N,0,0,0,0,0,0,,,,0,2,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
8,RL,4.248495242049359,10.063829694942651,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,SLvl,5,7,36,2,Gambrel,CompShg,MetalSd,AsphShn,,82.0,3,3,CBlock,,,,,349,,0,23,372,GasA,3,Y,,6.3561076606958915,533,0,7.011213987350367,0,1,1,0,3,1,3,5,Typ,0,,,36.0,,1,288,,,Y,35,0,0,0,0,0,,,,0,12,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.248495242049359,9.587684341669933,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,47,5,Gable,CompShg,Wd Sdng,Wd Sdng,,45.0,3,3,CBlock,,,,,588,,0,422,1010,GasA,5,Y,,7.033506484287697,0,0,7.033506484287697,0,0,1,0,2,1,3,6,Typ,0,,,47.0,,1,254,,,Y,0,16,0,0,0,0,,,,0,4,WD,Family,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.499809670330265,10.09703958498912,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,7,34,11,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,,,,,956,,1,384,1522,GasA,3,Y,,7.344719054149673,1066,0,7.868636894184167,0,0,2,1,4,1,3,9,Typ,1,,,34.0,,2,624,,,Y,38,243,0,0,0,0,,,,0,6,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RL,3.912023005428146,9.587684341669933,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,82,56,Gable,CompShg,MetalSd,MetalSd,,0.0,3,4,BrkTil,,,,,617,,0,0,617,GasA,4,Y,,6.762729506931879,445,0,7.177782416195197,0,0,2,0,2,1,3,6,Min1,0,,,82.0,,1,398,,,Y,0,0,1,0,0,0,,,,0,5,COD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.2626798770413155,9.906576149247746,Pave,,Reg,Bnk,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,5,24,24,Gable,CompShg,VinylSd,VinylSd,,0.0,3,4,PConc,,,,,336,,0,748,1084,GasA,3,Y,,6.984716320118266,0,0,6.984716320118266,0,0,1,1,3,1,3,5,Typ,0,,,24.0,,2,484,,,Y,120,0,1,0,0,0,,,,0,6,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RL,4.3694478524670215,10.253163977358225,Pave,,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,1.5Fin,8,8,26,0,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,4,3,CBlock,,,,,1441,,0,55,1496,GasA,5,Y,,7.310550158534422,636,0,7.664815785285735,1,0,1,1,1,1,4,5,Min2,1,,,26.0,,2,612,,,Y,349,40,0,0,0,0,,,,0,9,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
8,RL,4.624972813284271,10.028750242154198,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,6,38,14,Gable,CompShg,MetalSd,MetalSd,,143.0,3,3,CBlock,,,,,0,,0,570,570,GasA,4,Y,,7.108244139731541,698,0,7.560080465021827,0,0,3,0,4,1,4,8,Typ,1,,,38.0,,2,487,,,Y,0,98,0,0,0,0,,,,0,9,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
5,RM,3.6888794541139363,9.046669251903772,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,86,56,Gable,CompShg,Stucco,Stucco,,0.0,3,3,BrkTil,,,,,0,,0,648,648,GasA,3,Y,,6.598509028614515,384,0,7.0192966537150445,0,0,1,0,2,1,3,6,Typ,0,,,16.0,,2,440,,,Y,0,0,0,0,0,0,,,,0,10,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.584967478670572,10.168873546642843,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,3,2,Gable,CompShg,VinylSd,VinylSd,,200.0,4,3,PConc,,,,,1218,,0,486,1704,GasA,5,Y,,7.440733707389261,0,0,7.440733707389261,1,0,2,0,3,1,4,7,Typ,1,,,2.0,,3,772,,,Y,0,50,0,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
0,RL,,10.254601369860689,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,69,59,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,,,,,262,,0,599,861,GasA,5,Y,,6.7580945044277305,0,0,6.7580945044277305,0,0,1,0,1,1,3,4,Typ,0,,,48.0,,2,539,,,Y,158,0,0,0,0,0,,,,0,3,WD,Normal,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
12,RL,4.499809670330265,10.19149094176524,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,39,39,Mansard,CompShg,HdBoard,AsphShn,,365.0,4,3,CBlock,,,,,384,,1,143,702,GasA,4,Y,,6.947937068614969,702,0,7.463363045520021,0,1,1,2,3,1,3,7,Typ,1,,,39.0,,2,539,,,Y,224,0,0,0,0,0,,,,0,6,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
4,RM,3.044522437723423,8.060804798239065,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,38,38,Gable,CompShg,HdBoard,HdBoard,,127.0,3,3,CBlock,,,,,321,,0,162,483,GasA,3,Y,,6.180016653652572,504,0,6.894670039433482,0,0,1,1,2,1,3,5,Typ,0,,,21.0,,1,280,,,Y,0,0,0,0,0,0,,,,0,9,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.1588830833596715,9.65368643280217,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,0,0,Gable,CompShg,VinylSd,VinylSd,,84.0,4,3,PConc,,,,,684,,0,515,1199,GasA,5,Y,,7.106606137727303,0,0,7.106606137727303,1,0,2,0,2,1,4,6,Typ,0,,,0.0,,2,632,,,Y,105,54,0,0,0,0,,,,0,7,New,Partial,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RL,3.970291913552122,8.91336193514506,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,1,0,Gable,CompShg,VinylSd,VinylSd,,72.0,4,3,PConc,,,,,0,,0,1258,1258,GasA,5,Y,,7.2456550675945355,0,0,7.2456550675945355,0,2,0,2,2,1,4,7,Typ,1,,,1.0,,3,648,,,Y,120,16,0,0,0,0,,,,0,2,New,Partial,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,RM,3.6109179126442243,9.055863565872906,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2,2,Gable,CompShg,VinylSd,VinylSd,,169.0,4,3,PConc,,,,,662,,0,186,848,GasA,5,Y,,6.742880635791903,0,0,6.742880635791903,1,0,1,0,1,1,4,3,Typ,1,,,2.0,,2,420,,,Y,140,0,0,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.0943445622221,9.75462128611549,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,15,14,Gable,CompShg,VinylSd,VinylSd,,0.0,3,4,PConc,,,,,746,,0,244,990,GasA,5,Y,,6.897704943128636,0,0,6.897704943128636,1,0,1,0,3,1,3,5,Typ,0,,,9.0,,2,480,,,Y,0,64,0,0,0,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
8,RL,4.820281565605037,10.172365189325232,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,7,49,2,Gable,CompShg,Plywood,Plywood,,84.0,3,3,CBlock,,,,,719,,0,300,1019,GasA,4,Y,,7.213031659834869,0,0,7.213031659834869,1,0,1,0,2,1,5,5,Typ,1,,,49.0,,1,312,,,Y,0,0,0,0,1,0,,,,0,5,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,RL,4.248495242049359,10.026320686975403,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,6,6,Gable,CompShg,VinylSd,VinylSd,,168.0,4,3,PConc,,,,,2,,0,1515,1517,GasA,5,Y,,7.336285660021297,0,0,7.336285660021297,0,0,2,0,3,1,4,7,Typ,0,,,6.0,,2,532,,,Y,0,0,0,0,0,0,,,,0,3,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
6,RL,4.04305126783455,9.862118813819142,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,10,10,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,,,,,298,,0,572,870,GasA,5,Y,,6.81783057145415,0,0,6.81783057145415,0,0,1,0,2,1,3,5,Typ,0,,,8.0,,2,576,,,Y,0,0,0,0,0,0,,,,0,7,WD,Normal,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
